raw_site_name,measurements,origin,site_county,site_city,site_road_name,site_road_label,site_name,site_coords,site_speed_limit_mph,site_type,site_description
A40,9409,york,,,,A40,,,,,
A59 RB YORK,2976,york,North Yorkshire,York,,A59,A59,"53.97257382317189, -1.1422951299877608",,city_street,roundabout off road
ALD,10978,york,,,,,,,,,
Blyton Park,19,york,Lincolnshire,,,,Blyton Park,"53.45934045209342, -0.690796452439004",,,
CLIFTON MOOR YORK,54,york,North Yorkshire,York,,,Clifton Moor,"53.98920654327219, -1.0970400810309067",,city_street,
Elland Road,9,york,West Yorkshire,Leeds,Elland Road,A643,Elland Road,"53.776882280183585, -1.5718249173127747",,city_street,
GRE,22928,york,,,,,,,,,
GREENFORD RD A4127,4187,york,,,Greenford Road,A4127,Greenford Road,,,,
High Street,3779,york,,,,,,,,,
Oxpens Road,5492,york,Oxfordshire,Oxford,Oxpens Road,A420,Oxpens Road,"51.749648546388684, -1.2657721286787558",,city_street,
PUTNEY HILL,26576,york,,,,,Putney Hill,,,,
QVS,24791,york,,,,,,,,,
UNI ROAD YORK,4383,york,North Yorkshire,York,University Road,,University Road,"53.949360242368, -1.053868145803722",,city_street,
Wandsworth,28107,york,,,,,,,,,
WEST END RD RUISLIP,3292,york,,,,,,,,,
NA,1,york,,,,,,,,,
A10/M25 Junction,19645,ricardo,,,,,,,,,
"A112 Chingford roundabout, Waltham Forest",7439,ricardo,,,,,,,,,
"A112 South, Waltham Forest",3963,ricardo,,,,,,,,,
A205 South Circular Christchurch Road/Hillside Road,6239,ricardo,,,,,,,,,
A205 South Circular/Circular Way,8858,ricardo,,,,,,,,,
"A27 Bridge Road, Eastleigh",20833,ricardo,,,,,,,,,
"A27 Providence Hill, Eastleigh",7038,ricardo,,,,,,,,,
"A727 Eastbound, Glasgow",3466,ricardo,,,,,,,,,
"B179 East, Waltham Forest",4139,ricardo,,,,,,,,,
"Blackscroft, Dundee",12701,ricardo,,,,,,,,,
Bristol A4174,8418,ricardo,,,,,,,,,
"Broomlands St, Paisley",2649,ricardo,,,,,,,,,
"Busby, East Renfrewshire",11994,ricardo,,,,,,,,,
"Dawley Road, Hillingdon",1147,ricardo,,,,,,,,,
"East Kilbride, South Lanarkshire",7243,ricardo,,,,,,,,,
Edinburgh Ferry Road,19442,ricardo,,,,,,,,,
Edinburgh Great Junction Street,11123,ricardo,,,,,,,,,
Edinburgh St Johns Road,15498,ricardo,,,,,,,,,
"Ferry Road, Edinburgh, site 2",11982,ricardo,,,,,,,,,
Glasgow Dumbarton,3906,ricardo,,,,,,,,,
Glasgow Queen Margaret Drive,2108,ricardo,,,,,,,,,
"Glassford Street, Glasgow",3611,ricardo,,,,,,,,,
"Glassford Street, Glasgow, southbound",1138,ricardo,,,,,,,,,
"Greenford Road, Ealing",8717,ricardo,,,,,,,,,
Hafod,27540,ricardo,,,,,,,,,
Hafod2,26561,ricardo,,,,,,,,,
Harwell Off Site,7752,ricardo,,,,,,,,,
Harwell Onto Site,8875,ricardo,,,,,,,,,
Headington,10145,ricardo,,,,,,,,,
"Heston Road, Hounslow",1642,ricardo,,,,,,,,,
"Hope Street, Glasgow",882,ricardo,,,,,,,,,
"Leigh Road, Eastleigh",6966,ricardo,,,,,,,,,
"Lochee Road, Dundee",28443,ricardo,,,,,,,,,
Manchester Barton Dock Road,12165,ricardo,,,,,,,,,
Merican Way Derby,6595,ricardo,,,,,,,,,
"Nelson Mandela Place, Glasgow",218,ricardo,,,,,,,,,
Putney Hill,48741,ricardo,,,,,,,,,
Rowstock,14079,ricardo,,,,,,,,,
"St Quentin, Shropshire",2643,ricardo,,,,,,,,,
Stafford Street Derby,16372,ricardo,,,,,,,,,
"Stockley Road, West Drayton",1887,ricardo,,,,,,,,,
"West End Road, Hillingdon",21919,ricardo,,,,,,,,,
"Wide Lane, Eastleigh",4920,ricardo,,,,,,,,,
"Wishaw A721, North Lanarkshire",13257,ricardo,,,,,,,,,
"Wishaw, North Lanarkshire",15983,ricardo,,,,,,,,,
Asline Road SHF,2839,leeds,South Yorkshire,Sheffield,Asline Road,,Asline Road,"53.36611982496877, -1.471757532969565",30,city_street,one way road
"Attercliffe Centre, SHF",8793,leeds,South Yorkshire,Sheffield,Attercliffe Road,A6178,Attercliffe Centre,"53.390988935948364, -1.4418586881493105",30,city_street,
Beach Boulevard AB,569,leeds,Aberdeenshire,Aberdeen,Beach Boulevard,,Beach Boulevard,"57.15143574800718, -2.0846992726983835",30,city_street,
"Bridge of Dee, AB",13129,leeds,Aberdeenshire,Aberdeen,Bridge of Dee,A92,Bridge of Dee,"57.122965308401625, -2.1188418546083674",30,city_street,
East Road CAM,4941,leeds,Cambridgeshire ,Cambridge,East Road,A603,East Road,"52.20535800468654, 0.13414190507001666",30,city_street,
Elizabeth Way CAM,2289,leeds,Cambridgeshire ,Cambridge,Elizabeth Way South,A1134,Elizabeth Way,"52.21564502986499, 0.13539095434841722",30,city_street,
Elizabeth Way North CAM,4245,leeds,Cambridgeshire ,Cambridge,Elizabeth Way North,A1134,Elizabeth Way North,"52.21564502986499, 0.13539095434841722",30,city_street,
Eyre Street SHF,4972,leeds,South Yorkshire,Sheffield,Eyre Street,,Eyre Street,"53.37543122277909, -1.4720730168512106",30,city_street,
Great North Road,2960,leeds,Aberdeenshire,Aberdeen,Great Northern Road,A96,Great Northern Road,"57.172918053559364, -2.143856295619183",30,city_street,
King Street CAM,691,leeds,Cambridgeshire ,Cambridge,King Street CAM,,King Street,"52.20746777780373, 0.12403308803000121",20,city_street,one way road
"King Street, AB",4899,leeds,Aberdeenshire,Aberdeen,King Street AB,A956,King Street,"57.16154366283838, -2.096618217452351",30,city_street,
New Market Road CAM,3421,leeds,Cambridgeshire ,Cambridge,New Market Road,A1134,New Market Road,"52.20860685075692, 0.13867611707543057",30,city_street,
"Prince of Wales Road, SHF",5453,leeds,South Yorkshire,Sheffield,Prince of Wales Road,A6102,Prince of Wales Road,"53.372892630059916, -1.4178669189954083",40,city_street,
Westburn Road,2477,leeds,Aberdeenshire,Aberdeen,Westburn Road,A944,Westburn Road,"57.15290787044095, -2.1307245861927626",30,city_street,
"Western Bank, SHF",6352,leeds,South Yorkshire,Sheffield,Brook Hill,A57,Western Bank,"53.38196537873744, -1.4854239863062966",30,city_street,
